price,specs,specs_core,img
"₹1,49,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCApple A19 Pro128 GB inbuilt6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 48 MP Triple Rear & 24 MP Front CameraMemory Card Not SupportediOS v26No FM Radio",,https://cdn1.smartprix.com/rx-io5rFZ4AX-w280-h280/apple-iphone-17-pro.webp
"₹82,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor8 GB RAM, 256 GB inbuilt3561 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island Display48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",85,https://cdn1.smartprix.com/rx-i5Cn66MCD-w280-h280/apple-iphone-16-256g.webp
"₹1,69,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18 Pro, Hexa Core, 4.05 GHz Processor8 GB RAM, 1 TB inbuilt4685 mAh Battery with Fast Charging6.9 inches, 1320 x 2868 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",89,https://cdn1.smartprix.com/rx-iaI4Vthxt-w280-h280/apple-iphone-16-pro.webp
"₹1,21,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18 Pro, Hexa Core, 4.05 GHz Processor8 GB RAM, 256 GB inbuilt3582 mAh Battery with Fast Charging6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",88,https://cdn1.smartprix.com/rx-i2up0xlk8-w280-h280/apple-iphone-16-pro.webp
"₹48,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A14, Hexa Core, 3.1 GHz Processor4 GB RAM, 64 GB inbuilt6.1 inches, 1170 x 2532 px Display with Large Notch12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v14No FM Radio",,https://cdn1.smartprix.com/rx-iD8y25iVP-w280-h280/apple-iphone-12.webp
"₹1,99,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterOcta Core Processor16 GB RAM, 512 GB inbuilt7.76 inches, 1920 x 2713 px, 120 Hz Display with Punch HoleFoldable Display, Dual Display48 MP + 48 MP + 48 MP Triple Rear & 24 MP + 24 MP Dual Front CameraMemory Card Not SupportediOS v19",85,https://cdn1.smartprix.com/rx-i2awm36Vl-w280-h280/apple-iphone-fold.webp
"₹99,999","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A19, Octa Core Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with Fast Charging6.8 inches, 1284 x 3200 px, 120 Hz Display with Small Notch50 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v26",,https://cdn1.smartprix.com/rx-iLiWYxCzs-w280-h280/apple-iphone-17-plus.webp
"₹82,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A16, Hexa Core, 3.46 GHz Processor6 GB RAM, 256 GB inbuilt4383 mAh Battery with Fast Charging6.7 inches, 1290 x 2796 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v17",83,https://cdn1.smartprix.com/rx-i2SPPypmC-w280-h280/apple-iphone-15-plus.webp
"₹64,190","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor8 GB RAM, 256 GB inbuilt4005 mAh Battery with Fast Charging6.1 inches, 1170 x 2532 px Display with Small Notch48 MP Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",84,https://cdn1.smartprix.com/rx-iA5rc7mM3-w280-h280/apple-iphone-16e-256.webp
"₹1,54,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18 Pro, Hexa Core, 4.05 GHz Processor8 GB RAM, 512 GB inbuilt4685 mAh Battery with Fast Charging6.9 inches, 1320 x 2868 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",89,https://cdn1.smartprix.com/rx-iaI4Vthxt-w280-h280/apple-iphone-16-pro.webp
